id,ownerid,size,name,follow,star,fork,language
31677650,6342538,41742,"camus",0,0,0,"[ ""Java"" ]"
31739725,9517711,0,"Fractals",0,0,0,"[ ""Processing"" ]"
27012640,9517711,10631,"GraphicsFinal",0,0,0,"[ ""C"" ]"
29976492,9517711,1904,"LeWeber-SeniorProject",0,0,0,"[ ""Python"" ]"
31794687,4484836,0,"smart-fields",3,3,0,"[ ""JavaScript"" ]"
5433946,1221575,600,"backbone-boilerplate-app",1,1,1,"[ ""JavaScript"" ]"
31522941,1221575,0,"FeedMe",7,7,0,"[ ""PHP"" ]"
31635152,1221575,0,"FieldManager",5,5,0,"[ ""PHP"" ]"
5788893,1221575,336,"grunt-bbb",0,0,0,"[ ""JavaScript"" ]"
2896171,1221575,156,"ko-templating-test",1,1,0,"[ ""JavaScript"" ]"
31689873,1221575,0,"Plug",0,0,0,
31685361,1221575,0,"SetTable",4,4,0,"[ ""PHP"" ]"
25703346,441806,4566,"libcec",0,0,0,
1564460,441806,117188,"OpenELEC.tv",3,3,0,"[ ""Shell"" ]"
31746060,441806,0,"pvr.demo",0,0,0,"[ ""C++"" ]"
31571671,441806,664,"pvr.hts",0,0,1,"[ ""C++"" ]"
1270209,441806,6055,"tvheadend",15,15,3,"[ ""C"" ]"
1217826,441806,581653,"xbmc",200,200,42,"[ ""C"" ]"
992394,441806,1057821,"xbmc-antiquated",5,5,3,"[ ""C"" ]"
1017816,441806,145,"xbmc-diskless",7,7,3,"[ ""Shell"" ]"
8553362,441806,187,"xbmc-packaging",0,0,0,"[ ""Shell"" ]"
3988342,441806,23643,"xbmc-pvr-addons",131,131,281,"[ ""C++"" ]"
23041507,8471372,7336,"files",0,0,0,"[ ""Shell"" ]"
2115832,325916,832,"ancient-b2g",3,3,0,"[ ""Shell"" ]"
2139423,325916,6751,"android-build",7,7,8,"[ ""Shell"" ]"
2266472,325916,287750,"android-device-crespo",4,4,1,"[ ""C"" ]"
2692314,325916,7314,"android-external-qemu",3,3,3,"[ ""C"" ]"
2230984,325916,238974,"android-frameworks-base",13,13,8,"[ ""Java"" ]"
2139326,325916,2184,"android-skia",3,3,0,"[ ""C++"" ]"
2751107,325916,3037,"android-system-core",15,15,3,"[ ""C"" ]"
2139281,325916,3381,"android-v8",5,5,1,"[ ""C++"" ]"
2139138,325916,60680,"android-webkit",3,3,0,"[ ""C++"" ]"
2231156,325916,4719,"android_device_samsung_c1-common",3,3,2,"[ ""C"" ]"
2226270,325916,59900,"android_device_samsung_galaxys2",15,15,11,"[ ""Shell"" ]"
23436665,325916,2012,"B2G",0,0,0,"[ ""Shell"" ]"
23436684,325916,824,"b2g-manifest",0,0,0,
23951338,325916,4776,"brcm_usrlib_dag",0,0,0,
4013000,325916,96,"checkerboard-workbench",2,2,0,
13179973,325916,112,"collate.py",0,0,0,"[ ""Python"" ]"
10040129,325916,240,"env",0,0,0,"[ ""Emacs Lisp"" ]"
23356521,325916,112,"foxberrypi-demo",5,5,2,"[ ""JavaScript"" ]"
5361310,325916,821571,"gaia",0,0,0,"[ ""JavaScript"" ]"
5726314,325916,2614,"Gecko-Profiler-Addon",0,0,0,"[ ""JavaScript"" ]"
5358910,325916,125,"gonk-misc",0,0,0,"[ ""C"" ]"
2115862,325916,274451,"mozilla-central",32,32,14,"[ ""C++"" ]"
3920863,325916,88,"mung",2,2,0,
1950637,325916,4237,"pdf.js",2,2,0,"[ ""JavaScript"" ]"
10184691,325916,144,"perf-sched-viz",0,0,0,"[ ""JavaScript"" ]"
4780898,325916,1037650,"platform-demo-mc",1,1,1,"[ ""C++"" ]"
23635087,325916,4799,"platform_bionic",0,0,0,
23449215,325916,25079,"platform_build",0,0,0,
23635498,325916,10207,"platform_system_core",0,0,0,
9921048,325916,13243,"rr",0,0,0,"[ ""C++"" ]"
31735859,6410184,0,"Compilers",0,0,0,"[ ""Java"" ]"
15937228,6410184,292,"CSCI2020",0,0,0,"[ ""Java"" ]"
17845190,6410184,85360,"CSCI2160",0,0,0,
29744066,6410184,216,"CSCI3060-2015",0,0,0,"[ ""C++"" ]"
31735891,6410184,0,"ProgLang",0,0,0,"[ ""Shell"" ]"
30444640,371545,30984,"android_build",0,0,0,"[ ""Makefile"" ]"
30499352,371545,7800,"android_device_lge_hammerhead",0,0,0,"[ ""C++"" ]"
30688371,371545,24252,"android_device_moto_shamu",0,0,0,"[ ""C++"" ]"
29102806,371545,3680,"android_external_sepolicy",0,0,0,"[ ""Makefile"" ]"
29326250,371545,23828,"android_frameworks_av",0,0,0,"[ ""C++"" ]"
30310157,371545,1586924,"android_frameworks_base",1,1,0,"[ ""Java"" ]"
29599940,371545,7608,"android_frameworks_opt_telephony",0,0,0,"[ ""Java"" ]"
31629750,371545,0,"android_hardware_libhardware",0,0,0,"[ ""C"" ]"
29725319,371545,839834,"android_kernel_moto_shamu",0,0,1,"[ ""C"" ]"
30581545,371545,5976,"android_packages_apps_Bluetooth",0,0,0,"[ ""Java"" ]"
